,0.0,0.0001,0.001,0.01,0.1,1.0,10.0
0,"tensor(33.4757, grad_fn=<MulBackward0>)","tensor(18.8892, grad_fn=<MulBackward0>)","tensor(19.7922, grad_fn=<MulBackward0>)","tensor(24.4486, grad_fn=<MulBackward0>)","tensor(53.0963, grad_fn=<MulBackward0>)","tensor(31.9198, grad_fn=<MulBackward0>)","tensor(77.3691, grad_fn=<MulBackward0>)"
1,"tensor(26.9246, grad_fn=<MulBackward0>)","tensor(17.2129, grad_fn=<MulBackward0>)","tensor(13.5032, grad_fn=<MulBackward0>)","tensor(22.3811, grad_fn=<MulBackward0>)","tensor(56.6237, grad_fn=<MulBackward0>)","tensor(51.2473, grad_fn=<MulBackward0>)","tensor(63.3757, grad_fn=<MulBackward0>)"
2,"tensor(24.3593, grad_fn=<MulBackward0>)","tensor(17.0733, grad_fn=<MulBackward0>)","tensor(13.0019, grad_fn=<MulBackward0>)","tensor(21.2790, grad_fn=<MulBackward0>)","tensor(59.7866, grad_fn=<MulBackward0>)","tensor(70.3099, grad_fn=<MulBackward0>)","tensor(72.1803, grad_fn=<MulBackward0>)"
3,"tensor(22.9241, grad_fn=<MulBackward0>)","tensor(16.0343, grad_fn=<MulBackward0>)","tensor(12.9503, grad_fn=<MulBackward0>)","tensor(19.7558, grad_fn=<MulBackward0>)","tensor(57.3702, grad_fn=<MulBackward0>)","tensor(82.3375, grad_fn=<MulBackward0>)","tensor(92.0325, grad_fn=<MulBackward0>)"
4,"tensor(22.4831, grad_fn=<MulBackward0>)","tensor(15.5461, grad_fn=<MulBackward0>)","tensor(12.5989, grad_fn=<MulBackward0>)","tensor(17.7247, grad_fn=<MulBackward0>)","tensor(52.4882, grad_fn=<MulBackward0>)","tensor(88.9324, grad_fn=<MulBackward0>)","tensor(118.1556, grad_fn=<MulBackward0>)"
5,"tensor(22.9051, grad_fn=<MulBackward0>)","tensor(15.6941, grad_fn=<MulBackward0>)","tensor(11.8665, grad_fn=<MulBackward0>)","tensor(16.3941, grad_fn=<MulBackward0>)","tensor(47.5353, grad_fn=<MulBackward0>)","tensor(92.5117, grad_fn=<MulBackward0>)","tensor(147.0870, grad_fn=<MulBackward0>)"
6,"tensor(23.5707, grad_fn=<MulBackward0>)","tensor(16.1266, grad_fn=<MulBackward0>)","tensor(10.8609, grad_fn=<MulBackward0>)","tensor(15.6351, grad_fn=<MulBackward0>)","tensor(44.1017, grad_fn=<MulBackward0>)","tensor(94.5020, grad_fn=<MulBackward0>)","tensor(169.4684, grad_fn=<MulBackward0>)"
7,"tensor(24.4910, grad_fn=<MulBackward0>)","tensor(16.3791, grad_fn=<MulBackward0>)","tensor(10.0874, grad_fn=<MulBackward0>)","tensor(15.3199, grad_fn=<MulBackward0>)","tensor(42.3679, grad_fn=<MulBackward0>)","tensor(95.2832, grad_fn=<MulBackward0>)","tensor(184.8065, grad_fn=<MulBackward0>)"
8,"tensor(26.3963, grad_fn=<MulBackward0>)","tensor(16.5510, grad_fn=<MulBackward0>)","tensor(9.5551, grad_fn=<MulBackward0>)","tensor(15.2034, grad_fn=<MulBackward0>)","tensor(42.6874, grad_fn=<MulBackward0>)","tensor(96.1724, grad_fn=<MulBackward0>)","tensor(202.8210, grad_fn=<MulBackward0>)"
9,"tensor(28.6425, grad_fn=<MulBackward0>)","tensor(16.7832, grad_fn=<MulBackward0>)","tensor(9.1797, grad_fn=<MulBackward0>)","tensor(15.1995, grad_fn=<MulBackward0>)","tensor(43.8191, grad_fn=<MulBackward0>)","tensor(97.0908, grad_fn=<MulBackward0>)","tensor(224.9935, grad_fn=<MulBackward0>)"
10,"tensor(29.9245, grad_fn=<MulBackward0>)","tensor(17.2479, grad_fn=<MulBackward0>)","tensor(8.9527, grad_fn=<MulBackward0>)","tensor(15.1573, grad_fn=<MulBackward0>)","tensor(45.4601, grad_fn=<MulBackward0>)","tensor(99.9328, grad_fn=<MulBackward0>)","tensor(246.9964, grad_fn=<MulBackward0>)"
11,"tensor(30.2632, grad_fn=<MulBackward0>)","tensor(18.2366, grad_fn=<MulBackward0>)","tensor(8.8306, grad_fn=<MulBackward0>)","tensor(15.0918, grad_fn=<MulBackward0>)","tensor(46.8639, grad_fn=<MulBackward0>)","tensor(101.1515, grad_fn=<MulBackward0>)","tensor(270.6271, grad_fn=<MulBackward0>)"
12,"tensor(30.0699, grad_fn=<MulBackward0>)","tensor(19.6061, grad_fn=<MulBackward0>)","tensor(8.7825, grad_fn=<MulBackward0>)","tensor(15.1124, grad_fn=<MulBackward0>)","tensor(48.0632, grad_fn=<MulBackward0>)","tensor(101.4722, grad_fn=<MulBackward0>)","tensor(294.6331, grad_fn=<MulBackward0>)"
13,"tensor(29.6334, grad_fn=<MulBackward0>)","tensor(20.9845, grad_fn=<MulBackward0>)","tensor(8.8074, grad_fn=<MulBackward0>)","tensor(15.3036, grad_fn=<MulBackward0>)","tensor(48.8378, grad_fn=<MulBackward0>)","tensor(102.5696, grad_fn=<MulBackward0>)","tensor(316.8565, grad_fn=<MulBackward0>)"
14,"tensor(29.1275, grad_fn=<MulBackward0>)","tensor(21.9389, grad_fn=<MulBackward0>)","tensor(8.8890, grad_fn=<MulBackward0>)","tensor(15.4666, grad_fn=<MulBackward0>)","tensor(49.8640, grad_fn=<MulBackward0>)","tensor(105.4421, grad_fn=<MulBackward0>)","tensor(342.3757, grad_fn=<MulBackward0>)"
15,"tensor(28.6163, grad_fn=<MulBackward0>)","tensor(22.3901, grad_fn=<MulBackward0>)","tensor(8.9581, grad_fn=<MulBackward0>)","tensor(15.5226, grad_fn=<MulBackward0>)","tensor(49.8235, grad_fn=<MulBackward0>)","tensor(109.9086, grad_fn=<MulBackward0>)","tensor(370.8855, grad_fn=<MulBackward0>)"
