,0.0,0.0001,0.001,0.01,0.1,1.0,10.0
0,"tensor(38.0328, grad_fn=<MulBackward0>)","tensor(23.3940, grad_fn=<MulBackward0>)","tensor(14.9134, grad_fn=<MulBackward0>)","tensor(9.3683, grad_fn=<MulBackward0>)","tensor(20.7065, grad_fn=<MulBackward0>)","tensor(21.8906, grad_fn=<MulBackward0>)","tensor(20.1474, grad_fn=<MulBackward0>)"
1,"tensor(32.5286, grad_fn=<MulBackward0>)","tensor(17.8309, grad_fn=<MulBackward0>)","tensor(11.5985, grad_fn=<MulBackward0>)","tensor(4.6788, grad_fn=<MulBackward0>)","tensor(4.7815, grad_fn=<MulBackward0>)","tensor(4.7836, grad_fn=<MulBackward0>)","tensor(4.8957, grad_fn=<MulBackward0>)"
2,"tensor(32.7914, grad_fn=<MulBackward0>)","tensor(20.3159, grad_fn=<MulBackward0>)","tensor(9.4892, grad_fn=<MulBackward0>)","tensor(2.7881, grad_fn=<MulBackward0>)","tensor(6.6746, grad_fn=<MulBackward0>)","tensor(6.9767, grad_fn=<MulBackward0>)","tensor(6.7516, grad_fn=<MulBackward0>)"
3,"tensor(32.9768, grad_fn=<MulBackward0>)","tensor(23.0141, grad_fn=<MulBackward0>)","tensor(7.3362, grad_fn=<MulBackward0>)","tensor(2.0611, grad_fn=<MulBackward0>)","tensor(1.7366, grad_fn=<MulBackward0>)","tensor(1.7256, grad_fn=<MulBackward0>)","tensor(1.7467, grad_fn=<MulBackward0>)"
4,"tensor(32.0475, grad_fn=<MulBackward0>)","tensor(22.1026, grad_fn=<MulBackward0>)","tensor(5.5705, grad_fn=<MulBackward0>)","tensor(1.1261, grad_fn=<MulBackward0>)","tensor(1.6869, grad_fn=<MulBackward0>)","tensor(1.8546, grad_fn=<MulBackward0>)","tensor(1.8756, grad_fn=<MulBackward0>)"
5,"tensor(30.3209, grad_fn=<MulBackward0>)","tensor(18.6064, grad_fn=<MulBackward0>)","tensor(4.1411, grad_fn=<MulBackward0>)","tensor(0.6766, grad_fn=<MulBackward0>)","tensor(1.4197, grad_fn=<MulBackward0>)","tensor(1.4705, grad_fn=<MulBackward0>)","tensor(1.3691, grad_fn=<MulBackward0>)"
6,"tensor(28.7451, grad_fn=<MulBackward0>)","tensor(15.2974, grad_fn=<MulBackward0>)","tensor(3.3018, grad_fn=<MulBackward0>)","tensor(0.5481, grad_fn=<MulBackward0>)","tensor(0.3458, grad_fn=<MulBackward0>)","tensor(0.3011, grad_fn=<MulBackward0>)","tensor(0.3376, grad_fn=<MulBackward0>)"
7,"tensor(27.6698, grad_fn=<MulBackward0>)","tensor(12.8419, grad_fn=<MulBackward0>)","tensor(2.9979, grad_fn=<MulBackward0>)","tensor(0.3787, grad_fn=<MulBackward0>)","tensor(0.4690, grad_fn=<MulBackward0>)","tensor(0.6488, grad_fn=<MulBackward0>)","tensor(0.6773, grad_fn=<MulBackward0>)"
8,"tensor(27.0278, grad_fn=<MulBackward0>)","tensor(11.4123, grad_fn=<MulBackward0>)","tensor(3.0155, grad_fn=<MulBackward0>)","tensor(0.2214, grad_fn=<MulBackward0>)","tensor(0.3756, grad_fn=<MulBackward0>)","tensor(0.3187, grad_fn=<MulBackward0>)","tensor(0.2544, grad_fn=<MulBackward0>)"
9,"tensor(26.6046, grad_fn=<MulBackward0>)","tensor(10.5828, grad_fn=<MulBackward0>)","tensor(2.9822, grad_fn=<MulBackward0>)","tensor(0.1371, grad_fn=<MulBackward0>)","tensor(0.1145, grad_fn=<MulBackward0>)","tensor(0.1056, grad_fn=<MulBackward0>)","tensor(0.1533, grad_fn=<MulBackward0>)"
