,0.0,0.0001,0.001,0.01,0.1,1.0,10.0
0,"tensor(14.8083, grad_fn=<MulBackward0>)","tensor(25.1763, grad_fn=<MulBackward0>)","tensor(23.6018, grad_fn=<MulBackward0>)","tensor(26.0184, grad_fn=<MulBackward0>)","tensor(10.6159, grad_fn=<MulBackward0>)","tensor(10.4061, grad_fn=<MulBackward0>)","tensor(19.3619, grad_fn=<MulBackward0>)"
1,"tensor(8.5886, grad_fn=<MulBackward0>)","tensor(24.6777, grad_fn=<MulBackward0>)","tensor(26.7144, grad_fn=<MulBackward0>)","tensor(22.2489, grad_fn=<MulBackward0>)","tensor(8.0293, grad_fn=<MulBackward0>)","tensor(4.3622, grad_fn=<MulBackward0>)","tensor(4.9259, grad_fn=<MulBackward0>)"
2,"tensor(8.5726, grad_fn=<MulBackward0>)","tensor(20.8286, grad_fn=<MulBackward0>)","tensor(29.3200, grad_fn=<MulBackward0>)","tensor(20.2569, grad_fn=<MulBackward0>)","tensor(5.3291, grad_fn=<MulBackward0>)","tensor(2.7665, grad_fn=<MulBackward0>)","tensor(6.3361, grad_fn=<MulBackward0>)"
3,"tensor(11.0132, grad_fn=<MulBackward0>)","tensor(18.1510, grad_fn=<MulBackward0>)","tensor(30.1339, grad_fn=<MulBackward0>)","tensor(20.1210, grad_fn=<MulBackward0>)","tensor(4.3456, grad_fn=<MulBackward0>)","tensor(1.8070, grad_fn=<MulBackward0>)","tensor(1.9539, grad_fn=<MulBackward0>)"
4,"tensor(12.9377, grad_fn=<MulBackward0>)","tensor(16.0512, grad_fn=<MulBackward0>)","tensor(29.8808, grad_fn=<MulBackward0>)","tensor(20.4982, grad_fn=<MulBackward0>)","tensor(3.9024, grad_fn=<MulBackward0>)","tensor(0.8653, grad_fn=<MulBackward0>)","tensor(1.5389, grad_fn=<MulBackward0>)"
5,"tensor(14.0778, grad_fn=<MulBackward0>)","tensor(14.1491, grad_fn=<MulBackward0>)","tensor(29.6218, grad_fn=<MulBackward0>)","tensor(20.5927, grad_fn=<MulBackward0>)","tensor(3.5882, grad_fn=<MulBackward0>)","tensor(0.7318, grad_fn=<MulBackward0>)","tensor(1.4682, grad_fn=<MulBackward0>)"
6,"tensor(14.3082, grad_fn=<MulBackward0>)","tensor(12.5245, grad_fn=<MulBackward0>)","tensor(29.9095, grad_fn=<MulBackward0>)","tensor(20.3171, grad_fn=<MulBackward0>)","tensor(3.2823, grad_fn=<MulBackward0>)","tensor(0.9469, grad_fn=<MulBackward0>)","tensor(0.4271, grad_fn=<MulBackward0>)"
7,"tensor(14.0462, grad_fn=<MulBackward0>)","tensor(11.3290, grad_fn=<MulBackward0>)","tensor(30.1988, grad_fn=<MulBackward0>)","tensor(19.6952, grad_fn=<MulBackward0>)","tensor(2.8087, grad_fn=<MulBackward0>)","tensor(0.8451, grad_fn=<MulBackward0>)","tensor(0.4086, grad_fn=<MulBackward0>)"
8,"tensor(13.7505, grad_fn=<MulBackward0>)","tensor(10.4615, grad_fn=<MulBackward0>)","tensor(29.9878, grad_fn=<MulBackward0>)","tensor(18.9803, grad_fn=<MulBackward0>)","tensor(2.3223, grad_fn=<MulBackward0>)","tensor(0.4633, grad_fn=<MulBackward0>)","tensor(0.4036, grad_fn=<MulBackward0>)"
9,"tensor(13.8526, grad_fn=<MulBackward0>)","tensor(10.1925, grad_fn=<MulBackward0>)","tensor(29.1868, grad_fn=<MulBackward0>)","tensor(18.0102, grad_fn=<MulBackward0>)","tensor(1.8852, grad_fn=<MulBackward0>)","tensor(0.2717, grad_fn=<MulBackward0>)","tensor(0.1790, grad_fn=<MulBackward0>)"
10,"tensor(14.5516, grad_fn=<MulBackward0>)","tensor(10.5943, grad_fn=<MulBackward0>)","tensor(28.4192, grad_fn=<MulBackward0>)","tensor(16.9388, grad_fn=<MulBackward0>)","tensor(1.5830, grad_fn=<MulBackward0>)","tensor(0.2709, grad_fn=<MulBackward0>)","tensor(0.1079, grad_fn=<MulBackward0>)"
11,"tensor(15.6200, grad_fn=<MulBackward0>)","tensor(11.5712, grad_fn=<MulBackward0>)","tensor(27.8509, grad_fn=<MulBackward0>)","tensor(15.6225, grad_fn=<MulBackward0>)","tensor(1.4298, grad_fn=<MulBackward0>)","tensor(0.2261, grad_fn=<MulBackward0>)","tensor(0.1216, grad_fn=<MulBackward0>)"
12,"tensor(16.7329, grad_fn=<MulBackward0>)","tensor(12.7254, grad_fn=<MulBackward0>)","tensor(27.5442, grad_fn=<MulBackward0>)","tensor(14.2315, grad_fn=<MulBackward0>)","tensor(1.3430, grad_fn=<MulBackward0>)","tensor(0.1581, grad_fn=<MulBackward0>)","tensor(0.0580, grad_fn=<MulBackward0>)"
13,"tensor(17.7961, grad_fn=<MulBackward0>)","tensor(13.6296, grad_fn=<MulBackward0>)","tensor(27.2312, grad_fn=<MulBackward0>)","tensor(12.9083, grad_fn=<MulBackward0>)","tensor(1.2936, grad_fn=<MulBackward0>)","tensor(0.1314, grad_fn=<MulBackward0>)","tensor(0.0590, grad_fn=<MulBackward0>)"
14,"tensor(18.6332, grad_fn=<MulBackward0>)","tensor(14.4154, grad_fn=<MulBackward0>)","tensor(26.9213, grad_fn=<MulBackward0>)","tensor(11.8415, grad_fn=<MulBackward0>)","tensor(1.3170, grad_fn=<MulBackward0>)","tensor(0.1674, grad_fn=<MulBackward0>)","tensor(0.0448, grad_fn=<MulBackward0>)"
